beverage,calories,total_fat,sugar,sodium,protein,saturated_fat,carbohydrates
Pinot Grigio,394.01910112359565,27.191011235955056,23.56179775280899,29.471910112359552,41.325842696629216,32.20224719101124,11.898876404494382
Pinot Gris,416.15901639344264,36.18032786885246,26.0,30.688524590163933,44.83606557377049,47.47540983606557,8.80327868852459
"Pinot Gris, Alsace",329.8263157894737,31.263157894736842,11.105263157894736,26.894736842105264,35.473684210526315,42.473684210526315,5.421052631578948
Pinot Noir,485.6534482758622,43.04022988505747,44.5,31.683908045977013,47.0632183908046,53.44252873563219,11.011494252873563
Pinotage,653.6962962962963,69.0,37.96296296296296,31.74074074074074,58.592592592592595,79.81481481481481,9.62962962962963
"Pinotage, South Africa",411.59999999999997,20.0,80.66666666666667,110.0,75.0,23.333333333333332,11.333333333333334
Pomerol,206.625,13.75,8.25,25.75,16.25,22.75,7.25
Pouilly Fuissé,400.43333333333334,30.333333333333332,23.666666666666668,32.0,44.0,41.0,9.333333333333334
Pouilly Fumé,374.48235294117654,30.676470588235293,14.441176470588236,24.147058823529413,43.0,45.970588235294116,8.352941176470589
Pouilly sur Loire,180.5,14.0,7.0,9.0,8.0,8.0,6.0
Primitivo,428.6363636363636,25.90909090909091,25.181818181818183,33.90909090909091,48.72727272727273,25.454545454545453,14.272727272727273
"Priorato, Red",318.1,34.0,13.0,54.0,42.0,34.0,2.0
"Priorato, White",177.4,14.0,55.0,0.0,8.0,6.0,7.0
Prosecco,690.7093749999998,53.8125,123.65625,35.125,50.6875,56.625,23.0
Provençal Rosé,273.0,24.666666666666668,6.0,24.666666666666668,51.333333333333336,12.0,1.3333333333333333
"Puligny-Montrachet, White",212.6,23.0,5.0,12.0,18.0,35.0,3.0
Quarts de Chaume,300.125,25.5,61.0,12.0,10.75,41.25,10.5
Quincy,360.8,15.0,31.0,35.0,64.0,6.0,9.0
Recioto di Soave Classico Spumante (DOCG),116.5,15.0,7.0,8.0,0.0,7.0,2.0
Red Wine,345.0249999999999,25.416666666666668,34.416666666666664,19.75,28.416666666666668,33.416666666666664,11.583333333333334
Retsina,330.73333333333335,25.0,10.333333333333334,24.666666666666668,19.666666666666668,41.333333333333336,11.333333333333334
"Reuilly, Rosé",761.0,71.0,11.0,66.0,106.0,40.0,10.0
"Reuilly, White",204.10000000000002,24.0,3.5,10.0,7.0,50.0,4.0
"Rhone, Red Wine",480.5428571428572,43.04761904761905,32.38095238095238,38.38095238095238,49.714285714285715,55.476190476190474,7.619047619047619
Ribera del Duero - Crianza,667.0999999999999,68.5,21.0,26.0,64.5,52.5,8.0
Ribera del Duero - Gran Reserva,174.45,11.5,72.0,5.0,9.0,21.0,7.0
Ribera del Duero - Reserva,688.775,57.0,29.25,36.25,80.5,79.0,15.0
"Ribera del Duero, Red",479.53000000000003,44.4,23.1,29.5,43.4,56.1,10.2
"Ribera del Duero, White",177.4,14.0,55.0,0.0,8.0,6.0,7.0
Rieslaner,315.7,24.0,4.0,30.0,19.0,40.0,11.0
Riesling,440.3550802139039,37.283422459893046,40.24598930481283,28.048128342245988,44.5668449197861,47.44385026737968,10.449197860962567
"Riesling, Alsace",321.78,29.95,21.65,30.3,35.25,36.15,5.35
"Riesling, Auslese",1134.075,149.0,37.0,35.5,62.5,167.0,9.5
"Riesling, Grand Cru, Alsace",235.9,23.0,17.0,25.0,16.0,45.0,6.0
"Riesling, Late Harvest",308.53333333333336,26.444444444444443,70.11111111111111,16.333333333333332,18.0,41.592592592592595,9.518518518518519
