beverage,calories,total_fat,sugar,sodium,protein,saturated_fat,carbohydrates
Cabernet Franc,472.1148148148147,38.2962962962963,36.111111111111114,32.18518518518518,54.888888888888886,48.0,9.88888888888889
Cabernet Sauvignon,561.0948453608244,53.608247422680414,35.31958762886598,33.78350515463917,59.54639175257732,66.43298969072166,9.70103092783505
Cahors AOC,304.34999999999997,30.166666666666668,10.333333333333334,51.5,22.0,37.0,6.0
Cannonau,146.9,3.0,4.0,31.0,37.0,1.0,4.0
Carignan,529.5,40.5,44.0,10.0,14.0,74.5,15.0
Cariñena,443.23809523809524,31.238095238095237,43.76190476190476,35.476190476190474,44.285714285714285,34.142857142857146,13.952380952380953
Carménère,461.0875,38.96875,22.6875,36.78125,54.0,49.03125,9.8125
Catarratto Bianco,744.5,61.0,9.0,3.0,58.0,101.0,22.0
Cava,508.4647058823529,42.294117647058826,24.941176470588236,33.588235294117645,51.1764705882353,45.88235294117647,12.529411764705882
Chablis,378.880701754386,31.719298245614034,17.228070175438596,31.05263157894737,43.771929824561404,43.94736842105263,7.9298245614035086
Chablis Grand Cru,241.1,10.0,142.5,7.5,0.5,4.5,13.0
Chablis Premier Cru,49.3,6.0,2.0,2.0,0.0,8.0,0.0
"Chablis, Cru",305.8,23.0,3.0,9.0,32.0,11.0,8.0
Chambertin,661.55,43.0,227.5,25.0,43.5,53.0,26.5
"Chambolle-Musigny, Red",228.0,7.0,9.0,28.0,79.0,5.0,1.0
Chambourcin,672.1,54.0,22.0,28.0,93.0,69.0,13.0
Champagne,443.6586666666666,40.36,60.16,29.4,30.973333333333333,53.53333333333333,12.213333333333333
"Champagne, Blanc de Noirs",432.2,39.0,9.666666666666666,28.666666666666668,82.33333333333333,43.333333333333336,2.0
"Champagne, Blanc de blancs ",283.53333333333336,20.2,6.533333333333333,19.066666666666666,26.466666666666665,27.066666666666666,8.8
"Champagne, Brut",160.6777777777778,15.88888888888889,5.333333333333333,13.666666666666666,13.11111111111111,21.333333333333332,2.888888888888889
"Champagne, Demi-Sec",324.2,26.857142857142858,60.57142857142857,10.714285714285714,22.857142857142858,38.857142857142854,9.714285714285714
"Champagne, Doux",387.3,17.0,179.0,3.0,9.0,44.0,22.0
"Champagne, Dry",383.06666666666666,26.444444444444443,27.0,18.333333333333332,30.88888888888889,30.444444444444443,13.666666666666666
"Champagne, Extra Dry",188.65,20.0,27.0,9.5,9.0,35.0,4.5
"Champagne, Rosé ",440.01714285714286,40.542857142857144,44.34285714285714,38.542857142857144,41.97142857142857,53.885714285714286,9.571428571428571
"Champagne, Sec",405.1,42.0,10.0,29.0,15.0,63.0,10.0
Chardonnay,435.0781725888322,35.51776649746193,39.70558375634518,27.685279187817258,44.69035532994924,45.065989847715734,10.873096446700508
"Chardonnay, Unoaked",405.6864864864864,31.35135135135135,20.2972972972973,27.513513513513512,42.945945945945944,39.54054054054054,10.864864864864865
"Charlemagne, White",463.36,45.8,23.4,22.8,27.2,82.4,12.0
"Chassagne Montrachet, White",640.6333333333333,23.0,10.333333333333334,27.0,94.66666666666667,11.666666666666666,25.0
Chasselas,316.9,25.0,8.0,39.0,73.0,14.0,1.0
Chenin Blanc,423.01000000000005,39.48,26.14,25.62,46.94,49.48,7.46
"Chenin Blanc, Dry",123.6,8.0,5.0,12.0,11.0,19.0,4.0
"Chenin Blanc, Loire Valley",162.42000000000002,13.2,17.8,9.8,9.2,21.0,4.6
Chianti Classico DOCG,451.7904761904763,29.523809523809526,68.14285714285714,32.38095238095238,49.04761904761905,39.57142857142857,12.285714285714286
"Chianti Classico, Riserva DOCG",595.1999999999999,71.5,11.0,24.5,47.666666666666664,99.66666666666667,5.333333333333333
Chianti Colli Senesi DOCG,1307.5,153.0,18.0,95.0,111.0,203.0,15.0
Chianti DOCG,436.3611111111111,34.648148148148145,20.814814814814813,31.537037037037038,46.94444444444444,44.870370370370374,10.185185185185185
Chianti Riserva DOCG,504.6,51.5,4.5,55.0,43.0,78.0,10.0
Chinon Saignée,410.9,5.0,57.0,2.0,5.0,2.0,15.0
"Chinon, Red (AOC)",277.20000000000005,21.5,8.5,27.0,20.0,27.5,10.0
Choya Silver White Wine,536.74,65.2,24.8,27.0,38.2,97.8,4.4
"Châteaumeillant, Red",513.25,30.5,86.0,28.5,30.0,40.0,23.5
"Châteaumeillant, Rosé",181.7,12.0,83.0,0.0,7.0,23.0,10.0
"Châteauneuf du Pape, Red",591.0200000000001,60.44,30.32,43.96,57.8,77.68,8.88
"Châteauneuf du Pape, White",444.81666666666666,52.833333333333336,6.833333333333333,14.166666666666666,49.666666666666664,98.16666666666667,1.6666666666666667
Cinsaut,255.7,11.0,14.0,6.0,26.0,19.0,12.0
Clairet Rosé,410.9,5.0,57.0,2.0,5.0,2.0,15.0
Clairette Blanche,82.6,5.0,7.0,6.0,5.0,10.0,3.0
Condrieu (AOC),307.8666666666666,19.833333333333332,11.666666666666666,11.666666666666666,28.0,33.333333333333336,11.666666666666666
Corbières AOP,2490.1,308.0,0.0,21.0,318.0,408.0,0.0
Cornas AOC,273.45,17.0,95.0,30.5,4.0,28.0,12.5
Corse AOP,117.0,14.0,0.0,3.0,5.0,6.0,2.0
"Costières de Nimes, White",117.0,14.0,0.0,3.0,5.0,6.0,2.0
Coteaux Varois en Provence - White,174.1,3.0,8.0,15.0,54.0,2.0,3.0
Coteaux de l’Aubance,653.5,31.0,11.0,4.0,82.0,22.0,24.0
"Coteaux du Languedoc, Red AOC",699.6500000000001,64.75,17.5,51.25,94.0,82.25,7.0
Coteaux du Layon Sweet White Wine,1482.9875,108.875,537.0,42.625,34.25,128.5,68.25
"Crozes Hermitage, Red",549.7166666666667,44.666666666666664,68.16666666666667,59.5,45.666666666666664,62.166666666666664,15.666666666666666
"Crémant d'Alsace, Rosé",536.9,29.0,16.0,81.0,57.0,17.0,20.0
"Crémant d'Alsace, White",380.6,49.0,43.0,82.0,2.0,25.0,8.0
Crémant de Burgundy,223.4,26.0,0.0,21.0,29.0,34.0,0.0
"Côte Châlonnaise, Red",274.2,30.0,2.0,32.0,31.0,57.0,1.0
Côte Rôtie (AOC),536.5111111111112,55.666666666666664,29.11111111111111,61.55555555555556,55.111111111111114,64.55555555555556,7.555555555555555
"Côtes de Provence, Red AOC",256.6,20.0,28.0,30.0,44.5,19.5,3.0
"Côtes de Provence, Rosé AOC",564.9666666666667,53.666666666666664,24.333333333333332,18.333333333333332,54.333333333333336,76.33333333333333,11.666666666666666
"Côtes de Provence, White AOC",342.55,24.5,12.5,56.5,36.5,29.0,9.5
"Côtes du Rhône Villages, Red",934.1333333333332,99.66666666666667,60.0,40.0,109.66666666666667,116.33333333333333,8.666666666666666
"Côtes du Rhône, Red",478.02000000000004,40.888888888888886,25.57777777777778,32.31111111111111,55.31111111111111,52.666666666666664,8.822222222222223
"Côtes du Rhône, White",475.45,44.0,13.5,8.0,54.5,24.0,9.5
Dolcetto (DOC),371.4780487804879,30.536585365853657,18.975609756097562,28.78048780487805,37.170731707317074,43.951219512195124,9.073170731707316
Dolcetto d'Alba DOC,409.77142857142854,34.57142857142857,43.0,30.571428571428573,49.714285714285715,43.42857142857143,8.142857142857142
Dolcetto d'Asti DOC,428.5,39.0,24.0,24.666666666666668,39.333333333333336,57.333333333333336,9.666666666666666
Dornfelder,612.3,50.0,6.0,73.0,65.0,82.0,15.0
Dry Marsala,313.6,18.4,13.8,19.6,36.8,10.4,8.2
Edelzwicker - Alsace,799.25,72.5,14.5,100.5,139.0,114.0,7.0
Eichberg Grand Cru - Pinot Gris,245.75,14.5,126.5,10.0,7.0,22.5,12.5
Eiswein,569.15,39.5,107.0,26.5,21.5,51.5,24.5
Engelberg Grand Cru - Riesling,140.2,2.0,0.0,2.0,7.0,1.0,8.0
Falanghina,425.4,39.5,14.5,16.0,34.5,53.5,10.5
"Fiano di Avellino, White, Dry",744.5,61.0,9.0,3.0,58.0,101.0,22.0
"Fitou, Red",308.71250000000003,27.125,45.0,17.875,30.75,28.75,6.5
Fleurie,174.1,3.0,8.0,15.0,54.0,2.0,3.0
Frankstein Grand Cru - Gewurztraminer,782.1,82.0,4.0,31.0,43.0,46.0,17.0
Frankstein Grand Cru - Pinot Gris,523.4,58.0,28.5,41.0,54.0,64.5,6.0
Frankstein Grand Cru - Riesling,612.2,38.75,19.25,27.25,74.0,27.75,18.75
Frascati,572.35,51.75,23.75,73.75,58.5,80.25,12.5
Fronton AOP,2490.1,308.0,0.0,21.0,318.0,408.0,0.0
Fumé Blanc,204.05,8.5,15.0,7.0,12.5,5.0,10.5
Furmint,380.6,49.0,43.0,82.0,2.0,25.0,8.0
Gaillac White,431.7,48.0,4.0,15.0,33.0,91.0,7.0
Gamay,701.1000000000001,81.0,45.25,20.125,71.625,115.625,6.25
Garnacha,682.5333333333334,68.33333333333333,46.666666666666664,25.666666666666668,65.5,66.83333333333333,8.666666666666666
Garnacha Blanca,454.62000000000006,33.0,12.2,24.4,62.6,40.6,9.6
Garnacha Fortified Sweet Wine,435.0,37.0,89.0,18.0,11.0,48.0,16.0
Garnacha Noir,700.1,78.66666666666667,51.333333333333336,43.333333333333336,54.666666666666664,121.33333333333333,10.333333333333334
Garnacha Rosé,176.0,16.5,24.0,13.5,21.5,10.0,2.5
Garnacha Sparkling Wine,140.2,2.0,0.0,2.0,7.0,1.0,8.0
Garnacha Tinta,1007.8,114.0,34.0,49.0,98.0,95.0,13.0
Gavi/Cortese di Gavi (DOCG),424.29090909090917,38.81818181818182,15.181818181818182,18.363636363636363,50.09090909090909,53.09090909090909,6.909090909090909
Geisberg Grand Cru,341.7,42.0,17.0,7.333333333333333,20.333333333333332,79.0,4.333333333333333
Gentil D'Alsace,377.45000000000005,34.0,14.5,42.666666666666664,47.833333333333336,46.666666666666664,6.833333333333333
Gewürztraminer,446.23734939759044,38.75903614457831,34.506024096385545,29.698795180722893,48.87951807228916,46.325301204819276,9.518072289156626
"Gewürztraminer, Alsace",491.71111111111117,48.05555555555556,36.05555555555556,35.888888888888886,43.05555555555556,60.05555555555556,9.777777777777779
"Gewürztraminer, German",1230.2,138.0,108.0,11.0,133.0,241.0,14.0
Gigondas,442.8625,36.875,32.125,66.125,57.875,50.125,8.75
Godello,529.5,49.0,5.0,17.0,44.0,85.0,12.0
Granaccia ,195.1,6.0,43.0,6.0,47.0,5.0,4.0
"Graves, White",276.35,20.75,7.0,14.25,40.75,19.25,4.5
Grecanico,587.0,31.0,24.0,4.0,53.0,33.0,25.0
"Greco di Tufo, Spumante",310.4,23.0,11.0,18.0,16.0,27.0,11.5
"Greco di Tufo, White",456.74285714285713,44.857142857142854,14.142857142857142,37.57142857142857,49.285714285714285,58.714285714285715,7.571428571428571
Grenache,301.2833333333333,20.25,25.5,21.0,41.75,26.583333333333332,7.75
Grenache Blanc,416.5543478260869,35.869565217391305,20.543478260869566,19.32608695652174,40.23913043478261,45.391304347826086,9.5
Grenache Gris,494.67999999999995,44.6,9.6,41.8,55.2,62.2,8.8
Grillo,744.5,61.0,9.0,3.0,58.0,101.0,22.0
Gros Manseng,587.0,31.0,24.0,4.0,53.0,33.0,25.0
Grüner Veltliner,394.9573333333332,32.13333333333333,25.04,34.74666666666667,44.72,39.18666666666667,9.12
Guado al Tasso - Super Tuscan,0.0,0.0,0.0,72.0,0.0,0.0,0.0
Guatamalan Antigua,198.8,17.0,71.0,2.0,5.0,34.0,7.0
"Hermitage, Red",605.1714285714287,62.714285714285715,59.42857142857143,82.0,56.142857142857146,71.28571428571429,10.0
"Hermitage, Red/White",192.2,11.0,70.0,1.0,3.0,11.0,11.0
"Hermitage, White",329.95,34.0,0.5,12.0,59.0,59.5,0.0
Ice Wine,550.9103448275862,45.89655172413793,157.6551724137931,21.17241379310345,23.655172413793103,63.93103448275862,20.103448275862068
"Ice Wine, Riesling",187.5,23.0,4.0,12.0,13.0,37.0,2.0
Irouléguy AOC,763.1,59.0,26.0,99.0,83.0,76.0,18.0
"Jurançon, Dry AOC",769.3,74.5,20.0,105.0,111.0,105.5,9.0
"Jurançon, Sweet AOC",519.1,38.333333333333336,172.0,20.666666666666668,12.0,66.33333333333333,22.666666666666668
Kabinett Riesling,318.1823529411764,27.41176470588235,37.294117647058826,27.705882352941178,32.470588235294116,33.35294117647059,7.411764705882353
Kirsh,569.5,46.0,132.0,15.0,11.0,98.0,23.0
Klevener de Heiligenstein,271.04999999999995,23.0,35.5,22.0,22.5,45.5,6.5
La Clape (AOC) - White,174.1,3.0,8.0,15.0,54.0,2.0,3.0
Lambrusco,507.495,47.8,28.0,32.7,52.25,54.85,9.55
Lambrusco Grasparossa,410.9,5.0,57.0,2.0,5.0,2.0,15.0
Lambrusco Rosato,311.7,0.0,301.0,5.0,7.0,0.0,25.0
Lambrusco Secco (dry),536.45,47.5,8.5,57.5,65.5,65.5,10.0
Lambrusco di Sorbara,259.8,17.0,76.0,4.0,12.0,35.0,12.0
"Languedoc, White",356.6,22.0,31.5,31.5,32.0,18.5,13.0
Late Harvest Gewürztraminer,448.2142857142857,43.285714285714285,77.42857142857143,16.428571428571427,35.0,39.857142857142854,9.857142857142858
Late Harvest Semillon,338.9,18.0,150.0,2.0,8.0,48.0,18.0
Late Harvest White Wines,465.7166666666667,33.0,64.5,18.666666666666668,35.333333333333336,49.166666666666664,16.833333333333332
"Late Harvest Wine, Alsatian",405.1,42.0,10.0,29.0,15.0,63.0,10.0
"Late Harvest Wine, Pinot Gris",405.1,42.0,10.0,29.0,15.0,63.0,10.0
Late Harvest Wines,274.4,22.6,67.46666666666667,12.466666666666667,15.933333333333334,38.06666666666667,9.133333333333333
Loupiac - AOP,431.7,48.0,4.0,15.0,33.0,91.0,7.0
Madeira,290.27368421052637,23.263157894736842,56.10526315789474,20.894736842105264,15.052631578947368,40.63157894736842,9.421052631578947
Madeira based Cocktails,213.9333333333333,18.0,26.333333333333332,7.666666666666667,29.333333333333332,32.0,3.6666666666666665
"Madeira, Amber",259.8,17.0,76.0,4.0,12.0,35.0,12.0
"Madeira, Bual",212.72857142857143,18.714285714285715,36.42857142857143,9.714285714285714,14.142857142857142,28.857142857142858,5.571428571428571
