Fruit,Vegetal,Herb/Spice,Earth/Mineral
Lemon,Grass,Ginger,Flint
Grapefruit,Green Bell Pepper,Basil,Chalk
Lime,Jalapeno,Cilantro,Gunsmoke
Gooseberry,Tomato Leaf,Thai Basil,
Lemon Zest,Asparagus,Sage,
Quince,Lemongrass,Dill,
,,Tarragon,
,,Thyme ,
,,Chervil,
