Fruit,Vegetal,Herb/Spice,Earth/Mineral
Lemon,Grass,Ginger,Chalk
Grapefruit,Green Bell Pepper,Basil,Slate
White Peach,Jalapeno,Cilantro,
Melon,Tomato Leaf,Thai Basil,
Passion Fruit,Asparagus,Sage,
Kiwi,Lemongrass,Dill,
Lemon Zest,,Tarragon,
