Fruit,Vegetal,Herb/Spice,Earth/Mineral
Red Plum,Tobacco,Sage,Clay
Black Cherry,,Cocoa,
Black Raspberry,,Clove,
Blueberry,,Vanilla,
Black Currant,,Allspice,
Prune,,Cinnamon,
Raisin,,Black Pepper,
Blackberry,,Cocoa,
,,,
,,,
