Grape,Fruit,Vegetal,Herb/Spice,Earth/Mineral
Cabernet Sauvignon Warm,Black Cherry,Tobacco,Mint,Graphite
,Black Currant,Cedar,Oregano,Charcoal
,Plum,Bell Pepper,Eucalyptus,Gunsmoke
,Blackberry,,Nutmeg,Gravel
,Fig,,Vanilla,
,Prune,,Cocoa,
,Red Currant,,White Pepper,
,Raspberry,,Black Pepper,
,Boysenberry,,Bay Leaf,
