Fruit,Vegetal,Herb/Spice,Earth/Mineral
Raspberry,Tobacco,Licorice,Potting Soil
Cherry,,Thyme,Truffle
Strawberry,,Clove,Mushroom
Plum,,Vanilla,
Blueberry,,Allspice,
Pomegranate,,Cinnamon,
Dragon Fruit,,Thyme,
Black Cherry,,Cocoa,
Black Raspberry,,,
,,,
