Fruit,Vegetal,Herb/Spice,Earth/Mineral
Lemon Zest,,Ginger,Slate
Lime,,White Pepper,Chalk
Yellow Apple,,Thai Basil,Petroleum
Peach,,Rosemary,
Pear,,Tarragon,
Mango,,Clove,
Apricot,,Nutmeg,
Nectarine,,Cinnamon,
Starfruit,,Vanilla,
Guava,,,
