Fruit,Vegetal,Herb/Spice,Earth/Mineral
Raspberry,Cedar,Sage,Potting Soil
Cherry,Coffee,Anise,Truffle
Red Currant,,Bay Leaf,
Blueberry,,Cocoa,
Plum,,Nutmeg,
Fig,,Clove,
Black Cherry,,Thyme,
,,,
,,,
,,,
