Fruit,Vegetal,Herb/Spice,Earth/Mineral
Lemon Zest,,Ginger,Slate
Lemon,,White Pepper,Chalk
Lime,,Thai Basil,Petroleum
Green Apple,,Rosemary,
Pear,,Tarragon,
Meyer Lemon,,Clove,
Apricot,,Nutmeg,
Nectarine,,,
Starfruit,,,
