Fruit,Vegetal,Herb/Spice,Earth/Mineral
Raspberry,Cedar,Sage,Potting Soil
Cherry,Coffee,Anise,Truffle
Red Currant,,Bay Leaf,
Blackberry,,Vanilla,
Blueberry,,Cocoa,
Plum,,Nutmeg,
Fig,,Clove,
Black Cherry,,Dill,
Black Currant,,,
