Fruit,Vegetal,Herb/Spice,Earth/Mineral
Raspberry,Tobacco,Licorice,Potting Soil
Cherry,Grass,Thyme,Truffle
Blackberry,,Clove,Mushroom
Plum,,Vanilla,
Black Currant,,Allspice,
Pomegranate,,Cinnamon,
,,Thyme,
,,Cocoa,
,,Pepper,
,,,
