Fruit,Vegetal,Herb/Spice,Earth/Mineral
Red Currant,Tobacco,Thyme,Clay
Cherry,Tomato,Margoram,Smoke
Strawberry,Tomato Leaf,Black Pepper,
Raspberry,Almond,Cinnamon,
Black Cherry,Coffee,Clove,
Plum,,Oregano,
Blackberry,,,
Fig,,,
,,,
,,,
