Fruit,Vegetal,Herb/Spice,Earth/Mineral
Red Currant,Tobacco,Rosemary,Mushroom
Plum,Bell Pepper,Sage,
Pomegranate,,Clove,
Blackberry,,Vanilla,
Raspberry,,Allspice,
Coconut,,Cinnamon,
,,Dill,
,,Cocoa,
,,Pepper,
,,,
