Fruit,Vegetal,Herb/Spice,Earth/Mineral
Lychee,,Ginger,
Guava,,Cinnamon,
Tangerine,,Tarragon,
Grapefruit,,Clove,
Nectarine,,Sage,
Orange,,White Pepper,
Lemon Zest,,Allspice,
Mango,,,
Apricot,,,
