Fruit,Vegetal,Herb/Spice,Earth/Mineral
Lemon Zest,,Ginger,Slate
Lemon,,Nutmeg,Chalk
Lime,,Cinnamon,Petroleum
Green Apple,,White Pepper,
Guava,,Thai Basil,
Mango,,Rosemary,
Starfruit,,Tarragon,
Nectarine,,,
Cantaloupe,,,
Pear,,,
Apricot,,,
