Grape,Fruit,Vegetal,Herb/Spice,Earth/Mineral
Chardonnay Cool,Quince,,Celery,Chalk
,Lemon,,Vanilla,Gunsmoke
,Starfruit,,,
,White Peach,,,
,Lime,,,
,Meyer Lemon,,,
,Lemon Zest,,,
,Apricot,,,
