Fruit,Vegetal,Herb/Spice,Earth/Mineral
Yellow Apple,,Celery,Flint
Pear,,Dill,Gunsmoke
Pineapple,,Vanilla,
Peach,,Clove,
Passionfruit,,,
Meyer Lemon,,,
Lemon Zest,,,
Mango,,,
