Grape,Fruit,Vegetal,Herb/Spice,Earth/Mineral
Cabernet Sauvignon Cool,Raspberry,Tobacco,Mint,Graphite
,Blackberry,Cedar,Oregano,Charcoal
,Red Currant,Bell Pepper,Eucalyptus,Gunsmoke
,Blackberry,Coffee,Nutmeg,Gravel
,Pomegranate,,Vanilla,Tar
,Plum,,Cocoa,Truffle
,Cranberry,,White Pepper,
,Cherry,,Black Pepper,
,Black Cherry,,Bay Leaf,
,Fig,,Dill ,
,,,Allspice,
,,,Anise,
