Grape,BODY,Tannin,Acid,ABV,Dryness,FRUIT
Cab Sauv,5,4,3,4,2,5
Pinot Noir,3,2,4,3,2,3
Syrah,5,3,3,4,2,5
Sangiovese,4,4,4,4,1,2
Merlot,4,2,3,4,1,4
Malbec,5,2,2,3,2,5
Sauv Blanc,2,0,5,3,2,2
Chard,3,0,3,4,2,5
Chenin Blanc,2,0,5,3,2,2
Reisling,1,0,5,1,3,3
Gerwurtzraminer,3,0,1,4,3,3
