,0,nutrition
0,Chicken with Mustard,506 calories; 30.3 g total fat; 150 mg cholesterol; 849 mg sodium. 20.9 g carbohydrates; 30.1 g protein; Full Nutrition
1,Chicken with Paprika,968 calories; 66 g total fat; 274 mg cholesterol; 632 mg sodium. 19.1 g carbohydrates; 70.9 g protein; Full Nutrition
2,Roasted Chicken with Garlic and/or Herbs,189 calories; 11.8 g total fat; 71 mg cholesterol; 90 mg sodium. 0.1 g carbohydrates; 19.2 g protein; Full Nutrition
3,Sautéed Chicken with Tomato Sauce,Per Serving: 151 calories; 10.5 g fat; 11.7 g carbohydrates; 2 g protein; 0 mg cholesterol; 685 mg sodium. Full nutrition
4,Sweet and Sour Chicken,639 calories; 18.4 g total fat; 160 mg cholesterol; 759 mg sodium. 56.2 g carbohydrates; 59.2 g protein; Full Nutrition
5,Tandoori Chicken,215 calories; 11.1 g total fat; 94 mg cholesterol; 93 mg sodium. 1.9 g carbohydrates; 25.8 g protein; Full Nutrition
6,Chicken Tikka Masala,403 calories; 25 g total fat; 100 mg cholesterol; 927 mg sodium. 20.5 g carbohydrates; 27.2 g protein; Full Nutrition
7,Pasta with Wild Boar Sauce,560 calories; 10.4 g total fat; 175 mg cholesterol; 1410 mg sodium. 41.1 g carbohydrates; 69.6 g protein; Full Nutrition
8,Jalapeño Chilie,Per Serving: 347 calories; 19.9 g fat; 22.6 g carbohydrates; 21.4 g protein; 68 mg cholesterol; 1246 mg sodium. Full nutrition
9,Pasilla Chilie,Per Serving: 347 calories; 19.9 g fat; 22.6 g carbohydrates; 21.4 g protein; 68 mg cholesterol; 1246 mg sodium. Full nutrition
10,Dishes with Roasted Tomato and Pasilla Sauce,no recipe match found
11,Chinese Cuisine with Fish Dishes,Per Serving: 513 calories; 21.9 g fat; 49.1 g carbohydrates; 26 g protein; 90 mg cholesterol; 2421 mg sodium. Full nutrition
12,Dim Sum,173 calories; 10.5 g total fat; 8 mg cholesterol; 78 mg sodium. 18.3 g carbohydrates; 1.6 g protein; Full Nutrition
13,Chinese Cuisine,634 calories; 36.5 g total fat; 101 mg cholesterol; 1192 mg sodium. 54.9 g carbohydrates; 24.3 g protein; Full Nutrition
14,Coquilles St. Jacques ,Per Serving: 528 calories; 24.6 g fat; 42.1 g carbohydrates; 29.4 g protein; 96 mg cholesterol; 1605 mg sodium. Full nutrition
15,Chives,Per Serving: 236 calories; 9 g fat; 36.2 g carbohydrates; 4.5 g protein; 23 mg cholesterol; 15 mg sodium. Full nutrition
16,Mushroom Pastry,Per Serving: 558 calories; 43.9 g fat; 34.5 g carbohydrates; 9.9 g protein; 120 mg cholesterol; 315 mg sodium. Full nutrition
17,Bayley Hazen Blue Cheese,Per Serving: 397 calories; 30.2 g fat; 25.3 g carbohydrates; 8 g protein; 15 mg cholesterol; 631 mg sodium. Full nutrition
18,Roasted Duckling,Per Serving: 1757 calories; 160.6 g fat; 1 g carbohydrates; 72.5 g protein; 362 mg cholesterol; 343 mg sodium. Full nutrition
19,Cinnamon,Per Serving: 372 calories; 19 g fat; 45.2 g carbohydrates; 6.4 g protein; 51 mg cholesterol; 198 mg sodium. Full nutrition
20,Cheese Fondue,Per Serving: 670 calories; 28.9 g fat; 56.9 g carbohydrates; 36.5 g protein; 91 mg cholesterol; 940 mg sodium. Full nutrition
21,Cloves,Per Serving: 60 calories; 0.1 g fat; 15.6 g carbohydrates; 0.1 g protein; 0 mg cholesterol; 15 mg sodium. Full nutrition
22,Coconut,Per Serving: 317 calories; 19.3 g fat; 26.3 g carbohydrates; 8.4 g protein; 67 mg cholesterol; 241 mg sodium. Full nutrition
23,Coconut Milk,Per Serving: 102 calories; 10 g fat; 3.7 g carbohydrates; 1.1 g protein; 0 mg cholesterol; 8 mg sodium. Full nutrition
24,Cod wrapped in Bacon or Pancetta,643 calories; 46 g total fat; 42 mg cholesterol; 1074 mg sodium. 43.9 g carbohydrates; 14.1 g protein; Full Nutrition
25,Cod Sautéed,Per Serving: 409 calories; 18.8 g fat; 43 g carbohydrates; 17.3 g protein; 54 mg cholesterol; 407 mg sodium. Full nutrition
26,Coffee-Flavored Desserts,465 calories; 28.9 g total fat; 78 mg cholesterol; 309 mg sodium. 46.3 g carbohydrates; 4.4 g protein; Full Nutrition
27,Consommé,no recipe match found
28,Chocolate Chip Cookies,399 calories; 23.4 g total fat; 54 mg cholesterol; 320 mg sodium. 47.2 g carbohydrates; 4.7 g protein; Full Nutrition
29,Coriander,Per Serving: 20 calories; 1.1 g fat; 3 g carbohydrates; 0.8 g protein; 0 mg cholesterol; 744 mg sodium. Full nutrition
30,Cornish Game Hen,814 calories; 57.5 g total fat; 340 mg cholesterol; 1383 mg sodium. 9.7 g carbohydrates; 59.4 g protein; Full Nutrition
31,Stew,Per Serving: 528 calories; 24.6 g fat; 42.1 g carbohydrates; 29.4 g protein; 96 mg cholesterol; 1605 mg sodium. Full nutrition
32,Crab with Black Bean Sauce,172 calories; 9.6 g total fat; 24 mg cholesterol; 857 mg sodium. 12.1 g carbohydrates; 8.5 g protein; Full Nutrition
33,Cranberries and Cranberry Sauce,Per Serving: 95 calories; 0.1 g fat; 24.2 g carbohydrates; 0.3 g protein; 0 mg cholesterol; < 1 mg sodium. Full nutrition
34,Crayfish/Crawfish with cream sauce,Per Serving: 663 calories; 45.3 g fat; 46.7 g carbohydrates; 21.5 g protein; 199 mg cholesterol; 2313 mg sodium. Full nutrition
35,Cream Desserts like Custard or Pudding,453 calories; 33.5 g total fat; 110 mg cholesterol; 291 mg sodium. 33.9 g carbohydrates; 4.5 g protein; Full Nutrition
36,Crayfish Laksa,Per Serving: 395 calories; 27.5 g fat; 20.6 g carbohydrates; 17.7 g protein; 167 mg cholesterol; 934 mg sodium. Full nutrition
37,Crêpes,no recipe match found
38,Cumin,Per Serving: 83 calories; 9.1 g fat; 0.7 g carbohydrates; 0.1 g protein; 0 mg cholesterol; 24 mg sodium. Full nutrition
39,Curry Dishes with either Fish Seafood or Poultry,Per Serving: 338 calories; 13.5 g fat; 11.6 g carbohydrates; 41.6 g protein; 56 mg cholesterol; 2715 mg sodium. Full nutrition
40,Citrus Flavoured Custard Desserts,553 calories; 20.5 g total fat; 45 mg cholesterol; 324 mg sodium. 84.7 g carbohydrates; 10.9 g protein; Full Nutrition
41,Orange Flavoured Custard Desserts,346 calories; 17 g total fat; 133 mg cholesterol; 248 mg sodium. 44.6 g carbohydrates; 4.9 g protein; Full Nutrition
42,Duck with Curry Sauce,Per Serving: 1488 calories; 108.1 g fat; 81.1 g carbohydrates; 49.2 g protein; 182 mg cholesterol; 1076 mg sodium. Full nutrition
43,Duck with Fruit Sauce,Per Serving: 712 calories; 28.7 g fat; 64 g carbohydrates; 44.8 g protein; 107 mg cholesterol; 2343 mg sodium. Full nutrition
44,Grilled Duck,Per Serving: 712 calories; 28.7 g fat; 64 g carbohydrates; 44.8 g protein; 107 mg cholesterol; 2343 mg sodium. Full nutrition
45,Duck with Mushrooms,Per Serving: 712 calories; 28.7 g fat; 64 g carbohydrates; 44.8 g protein; 107 mg cholesterol; 2343 mg sodium. Full nutrition
46,Peking Duck,Per Serving: 280 calories; 15.1 g fat; 11.6 g carbohydrates; 25.1 g protein; 99 mg cholesterol; 1256 mg sodium. Full nutrition
47,Eggplant,Per Serving: 404 calories; 20.6 g fat; 30 g carbohydrates; 27.7 g protein; 108 mg cholesterol; 1496 mg sodium. Full nutrition
48,Baba Ghanoush,Per Serving: 111 calories; 5.9 g fat; 14.5 g carbohydrates; 3.1 g protein; < 1 mg cholesterol; 331 mg sodium. Full nutrition
49,Crescenza Cheese,Per Serving: 426 calories; 31.6 g fat; 33.1 g carbohydrates; 8 g protein; 21 mg cholesterol; 654 mg sodium. Full nutrition
50,"Bass, Grilled",Per Serving: 232 calories; 12.2 g fat; 0.8 g carbohydrates; 28.2 g protein; 78 mg cholesterol; 237 mg sodium. Full nutrition
51,Eggs Benedict,281 calories; 14.1 g total fat; 174 mg cholesterol; 1053 mg sodium. 21.2 g carbohydrates; 17.5 g protein; Full Nutrition
52,Omelette with Cheese,Per Serving: 345 calories; 26.8 g fat; 3.6 g carbohydrates; 22.4 g protein; 381 mg cholesterol; 712 mg sodium. Full nutrition
53,Omelette with Smoked Salmon,Per Serving: 250 calories; 22.1 g fat; 1.7 g carbohydrates; 11.6 g protein; 231 mg cholesterol; 454 mg sodium. Full nutrition
54,Omelette with Ham & Mushroom,314 calories; 21.2 g total fat; 415 mg cholesterol; 738 mg sodium. 5.9 g carbohydrates; 24.8 g protein; Full Nutrition
55,Omelette with Vegetables,Per Serving: 252 calories; 21.5 g fat; 10.7 g carbohydrates; 5.4 g protein; 124 mg cholesterol; 54 mg sodium. Full nutrition
56,Empanadas,Per Serving: 226 calories; 10.3 g fat; 32.1 g carbohydrates; 1.8 g protein; 28 mg cholesterol; 84 mg sodium. Full nutrition
