,0,nutrition
0,Carne Asada,Per Serving: 369 calories; 19.7 g fat; 32.2 g carbohydrates; 18.1 g protein; 44 mg cholesterol; 840 mg sodium. Full nutrition
1,Pepper Steak,Per Serving: 298 calories; 15.5 g fat; 13.2 g carbohydrates; 26.2 g protein; 69 mg cholesterol; 115 mg sodium. Full nutrition
2,Pastrami Sandwich,Per Serving: 793 calories; 51.7 g fat; 50.2 g carbohydrates; 34.2 g protein; 107 mg cholesterol; 2447 mg sodium. Full nutrition
3,Blood Sausage,Per Serving: 128 calories; 9.4 g fat; 6.8 g carbohydrates; 5 g protein; 28 mg cholesterol; 928 mg sodium. Full nutrition
4,Seafood Tempura,Per Serving: 318 calories; 20.1 g fat; 13.2 g carbohydrates; 20.5 g protein; 56 mg cholesterol; 1092 mg sodium. Full nutrition
5,Uni - Sea Urchin Sushi/Sashimi,Per Serving: 258 calories; 8.4 g fat; 41.4 g carbohydrates; 5.3 g protein; 0 mg cholesterol; 89 mg sodium. Full nutrition
6,Dragon Roll (Sushi),Per Serving: 291 calories; 6.9 g fat; 45.1 g carbohydrates; 11.1 g protein; 9 mg cholesterol; 405 mg sodium. Full nutrition
7,Chopped Scallop Roll (Sushi),380 calories; 22 g total fat; 124 mg cholesterol; 1254 mg sodium. 2.1 g carbohydrates; 40.7 g protein; Full Nutrition
8,Spicy Tuna Roll (Sushi),Per Serving: 346 calories; 11.7 g fat; 47 g carbohydrates; 13.6 g protein; 16 mg cholesterol; 214 mg sodium. Full nutrition
9,California Roll (Sushi),Per Serving: 232 calories; 14.4 g fat; 23.7 g carbohydrates; 3.9 g protein; 5 mg cholesterol; 135 mg sodium. Full nutrition
10,Unagi/Anago (eel) - Grilled,Per Serving: 103 calories; 2.8 g fat; 19.7 g carbohydrates; 3.4 g protein; 0 mg cholesterol; 43 mg sodium. Full nutrition
11,Philadelphia Roll (Sushi),Per Serving: 291 calories; 6.9 g fat; 45.1 g carbohydrates; 11.1 g protein; 9 mg cholesterol; 405 mg sodium. Full nutrition
12,Sashimi,no recipe match found
13,Yellow Tail Sushi,562 calories; 29.9 g total fat; 83 mg cholesterol; 476 mg sodium. 59.2 g carbohydrates; 5.6 g protein; Full Nutrition
14,Aburi Shushi,no recipe match found
15,Smoked Dried Beef,Per Serving: 23 calories; 1.2 g fat; 2.6 g carbohydrates; 0.8 g protein; 3 mg cholesterol; 70 mg sodium. Full nutrition
16,Olive Tapenade,Per Serving: 327 calories; 24 g fat; 26.4 g carbohydrates; 5.2 g protein; 41 mg cholesterol; 361 mg sodium. Full nutrition
17,Salmon Teriyaki,Per Serving: 501 calories; 24.5 g fat; 21.9 g carbohydrates; 45.7 g protein; 133 mg cholesterol; 813 mg sodium. Full nutrition
