,0,nutrition
0,Taro Root,Per Serving: 64 calories; 6.8 g fat; 1 g carbohydrates; 0.4 g protein; 0 mg cholesterol; 582 mg sodium. Full nutrition
1,Marjoram,Per Serving: 1066 calories; 71.7 g fat; 90.4 g carbohydrates; 22.3 g protein; 61 mg cholesterol; 190 mg sodium. Full nutrition
2,Yams,Per Serving: 282 calories; 7.9 g fat; 50.7 g carbohydrates; 2.3 g protein; 20 mg cholesterol; 145 mg sodium. Full nutrition
3,Wax Pepper,362 calories; 34.3 g total fat; 58 mg cholesterol; 601 mg sodium. 4.3 g carbohydrates; 9.2 g protein; Full Nutrition
4,Swiss Chard,Per Serving: 165 calories; 13.4 g fat; 4.9 g carbohydrates; 2.3 g protein; 17 mg cholesterol; 202 mg sodium. Full nutrition
5,Lobster with Ginger,Per Serving: 191 calories; 13.1 g fat; 4.7 g carbohydrates; 10 g protein; 66 mg cholesterol; 554 mg sodium. Full nutrition
6,Radishes,166 calories; 9.3 g total fat; 32 mg cholesterol; 688 mg sodium. 17.9 g carbohydrates; 3.8 g protein; Full Nutrition
7,Kohlrabi,Per Serving: 107 calories; 3.9 g fat; 15.7 g carbohydrates; 3.7 g protein; < 1 mg cholesterol; 456 mg sodium. Full nutrition
8,Celeriac,Per Serving: 193 calories; 5.9 g fat; 32.9 g carbohydrates; 4.7 g protein; 16 mg cholesterol; 461 mg sodium. Full nutrition
9,Turnip,Per Serving: 79 calories; 3 g fat; 12.8 g carbohydrates; 1.1 g protein; 8 mg cholesterol; 374 mg sodium. Full nutrition
10,Stuffed Baked Potato,509 calories; 33.5 g total fat; 79 mg cholesterol; 545 mg sodium. 38.2 g carbohydrates; 15.2 g protein; Full Nutrition
11,Southern Style Collard Greens,127 calories; 9.2 g total fat; 12 mg cholesterol; 1001 mg sodium. 7.9 g carbohydrates; 4.4 g protein; Full Nutrition
12,Roasted Mushrooms,Per Serving: 180 calories; 15 g fat; 8.1 g carbohydrates; 6.2 g protein; 0 mg cholesterol; 9 mg sodium. Full nutrition
13,Pinto Beans,Per Serving: 210 calories; 1.1 g fat; 37.9 g carbohydrates; 13.2 g protein; 1 mg cholesterol; 95 mg sodium. Full nutrition
14,Seitan,Per Serving: 424 calories; 11.3 g fat; 67.4 g carbohydrates; 29.7 g protein; 0 mg cholesterol; 924 mg sodium. Full nutrition
15,Caciocavallo Cheese,Per Serving: 426 calories; 31.6 g fat; 33.1 g carbohydrates; 8 g protein; 21 mg cholesterol; 654 mg sodium. Full nutrition
16,Baked Macaroni and Cheese,Per Serving: 968 calories; 45.4 g fat; 92.6 g carbohydrates; 45.6 g protein; 194 mg cholesterol; 736 mg sodium. Full nutrition
17,Aged Cheddar,Per Serving: 208 calories; 19.9 g fat; 2.1 g carbohydrates; 6.3 g protein; 44 mg cholesterol; 229 mg sodium. Full nutrition
18,Sweet and Sour Pork,Per Serving: 366 calories; 16.1 g fat; 36.1 g carbohydrates; 19.9 g protein; 54 mg cholesterol; 670 mg sodium. Full nutrition
19,Navy Beans,340 calories; 11.6 g total fat; 34 mg cholesterol; 111 mg sodium. 39.3 g carbohydrates; 20.6 g protein; Full Nutrition
20,Kidney Beans,Per Serving: 285 calories; 16.8 g fat; 25.1 g carbohydrates; 10 g protein; 69 mg cholesterol; 501 mg sodium. Full nutrition
21,Grilled Salmon ,Per Serving: 412 calories; 25.7 g fat; 1.8 g carbohydrates; 41.8 g protein; 97 mg cholesterol; 299 mg sodium. Full nutrition
22,Pasta,Per Serving: 888 calories; 43.8 g fat; 77.3 g carbohydrates; 43.8 g protein; 84 mg cholesterol; 4200 mg sodium. Full nutrition
23,Elk,Per Serving: 307 calories; 2.4 g fat; 45.2 g carbohydrates; 28.1 g protein; 52 mg cholesterol; 1462 mg sodium. Full nutrition
24,Hamburgers with Cheese,Per Serving: 310 calories; 20.4 g fat; 17.2 g carbohydrates; 13.7 g protein; 54 mg cholesterol; 511 mg sodium. Full nutrition
25,Sausage Hot and Spicy,581 calories; 38.5 g total fat; 128 mg cholesterol; 969 mg sodium. 27.5 g carbohydrates; 32.6 g protein; Full Nutrition
26,Salad with Creamy Dressing,Per Serving: 576 calories; 55.6 g fat; 18.4 g carbohydrates; 5.2 g protein; 0 mg cholesterol; 179 mg sodium. Full nutrition
27,Tacos Bean,Per Serving: 986 calories; 80 g fat; 42.7 g carbohydrates; 28.2 g protein; 93 mg cholesterol; 1352 mg sodium. Full nutrition
28,Broccoli Soup,64 calories; 2 g total fat; 0 mg cholesterol; 20 mg sodium. 10.2 g carbohydrates; 2.8 g protein; Full Nutrition
29,Broccoli Salad,49 calories; 1.5 g total fat; 1 mg cholesterol; 41 mg sodium. 8.2 g carbohydrates; 2.2 g protein; Full Nutrition
30,Pickled Veal Tongue,Per Serving: 70 calories; 0.3 g fat; 16.9 g carbohydrates; 1.6 g protein; 0 mg cholesterol; 728 mg sodium. Full nutrition
31,Duck Roasted,Per Serving: 389 calories; 31.3 g fat; 4.5 g carbohydrates; 21.8 g protein; 91 mg cholesterol; 66 mg sodium. Full nutrition
32,Salmon Canapés,Per Serving: 73 calories; 4.1 g fat; 4.5 g carbohydrates; 4.4 g protein; 5 mg cholesterol; 254 mg sodium. Full nutrition
33,Prawns Roasted,Per Serving: 376 calories; 18.9 g fat; 19.3 g carbohydrates; 30.7 g protein; 92 mg cholesterol; 225 mg sodium. Full nutrition
34,Risotto with Quail,Per Serving: 480 calories; 25.9 g fat; 51.1 g carbohydrates; 11.1 g protein; 86 mg cholesterol; 998 mg sodium. Full nutrition
35,Yogurt Sauces,Per Serving: 35 calories; 2.5 g fat; 1.9 g carbohydrates; 1.6 g protein; 6 mg cholesterol; 162 mg sodium. Full nutrition
36,Yogurt,523 calories; 29.9 g total fat; 169 mg cholesterol; 590 mg sodium. 5.8 g carbohydrates; 55.2 g protein; Full Nutrition
37,Vietnamese Cuisine With Beef,Per Serving: 355 calories; 20.5 g fat; 14 g carbohydrates; 22.8 g protein; 38 mg cholesterol; 1849 mg sodium. Full nutrition
38,Vegetarian Dishes with Goat Cheese,Per Serving: 266 calories; 15.7 g fat; 19.6 g carbohydrates; 11.7 g protein; 26 mg cholesterol; 475 mg sodium. Full nutrition
39,Vegetarian Dishes Stir Fried,Per Serving: 119 calories; 9.3 g fat; 8 g carbohydrates; 2.2 g protein; 0 mg cholesterol; 903 mg sodium. Full nutrition
40,Vegetarian Bean Dishes,Per Serving: 139 calories; 0.5 g fat; 25.4 g carbohydrates; 8.5 g protein; 0 mg cholesterol; 785 mg sodium. Full nutrition
41,Veal Loin Roasted,385 calories; 19.8 g total fat; 98 mg cholesterol; 922 mg sodium. 15.7 g carbohydrates; 36.6 g protein; Full Nutrition
42,Veal With Citrus Sauce,217 calories; 12.4 g total fat; 53 mg cholesterol; 871 mg sodium. 10.6 g carbohydrates; 16.7 g protein; Full Nutrition
43,Veal Braised Shanks or Shoulder,250 calories; 19.1 g total fat; 62 mg cholesterol; 2072 mg sodium. 2.3 g carbohydrates; 16.2 g protein; Full Nutrition
44,Turkey Hash,Per Serving: 292 calories; 13.4 g fat; 28.2 g carbohydrates; 25.4 g protein; 62 mg cholesterol; 815 mg sodium. Full nutrition
45,Turkey Leftovers,Per Serving: 120 calories; 4 g fat; 5.6 g carbohydrates; 11.9 g protein; 33 mg cholesterol; 532 mg sodium. Full nutrition
46,Tuna with Pesto,Per Serving: 67 calories; 6.6 g fat; 0.8 g carbohydrates; 1.5 g protein; 1 mg cholesterol; 87 mg sodium. Full nutrition
47,Tuna Ceviche,Per Serving: 458 calories; 24.7 g fat; 18.3 g carbohydrates; 42.1 g protein; 77 mg cholesterol; 1233 mg sodium. Full nutrition
48,Trout in a Butter Sauce,Per Serving: 228 calories; 13.2 g fat; 3.3 g carbohydrates; 22.6 g protein; 60 mg cholesterol; 1031 mg sodium. Full nutrition
49,Tortilla Chips,Per Serving: 243 calories; 8.2 g fat; 35.9 g carbohydrates; 5.8 g protein; 0 mg cholesterol; 445 mg sodium. Full nutrition
50,Tex Mex Cuisine,Per Serving: 238 calories; 16.3 g fat; 21.9 g carbohydrates; 3.4 g protein; 0 mg cholesterol; 388 mg sodium. Full nutrition
51,Thai Basil,Per Serving: 150 calories; 0.1 g fat; 7.1 g carbohydrates; 0.4 g protein; 0 mg cholesterol; 3 mg sodium. Full nutrition
52,Tandoori,349 calories; 20.5 g total fat; 120 mg cholesterol; 618 mg sodium. 5.4 g carbohydrates; 34.2 g protein; Full Nutrition
53,Tabasco,no recipe match found
54,Swordfish with Lemon Butter Sauce,232 calories; 25.3 g total fat; 163 mg cholesterol; 85 mg sodium. 1 g carbohydrates; 1.6 g protein; Full Nutrition
55,Swordfish Roasted,Per Serving: 749 calories; 44.2 g fat; 50.5 g carbohydrates; 36.6 g protein; 53 mg cholesterol; 702 mg sodium. Full nutrition
56,Swordfish with bacon,Per Serving: 296 calories; 19 g fat; 5.8 g carbohydrates; 23.7 g protein; 44 mg cholesterol; 763 mg sodium. Full nutrition
57,Swordfish with Black Pepper,Per Serving: 107 calories; 5.4 g fat; 11.8 g carbohydrates; 3.5 g protein; 0 mg cholesterol; 415 mg sodium. Full nutrition
58,Sweetbreads with Mustard,Per Serving: 426 calories; 31.6 g fat; 33.1 g carbohydrates; 8 g protein; 21 mg cholesterol; 654 mg sodium. Full nutrition
59,Sushi Eel,Per Serving: 557 calories; 10.3 g fat; 77.1 g carbohydrates; 35 g protein; 351 mg cholesterol; 861 mg sodium. Full nutrition
60,Sushi Mackerel,Per Serving: 242 calories; 14.3 g fat; 2.2 g carbohydrates; 24.8 g protein; 103 mg cholesterol; 593 mg sodium. Full nutrition
61,Sushi Scallops,Per Serving: 318 calories; 12.9 g fat; 9.3 g carbohydrates; 34.9 g protein; 164 mg cholesterol; 755 mg sodium. Full nutrition
62,Sushi Squid,Per Serving: 181 calories; 0.2 g fat; 40.7 g carbohydrates; 2.9 g protein; 0 mg cholesterol; 296 mg sodium. Full nutrition
63,Sushi Sweet Shrimp,Per Serving: 181 calories; 0.2 g fat; 40.7 g carbohydrates; 2.9 g protein; 0 mg cholesterol; 296 mg sodium. Full nutrition
64,Sushi Crab,Per Serving: 152 calories; 3.9 g fat; 25.8 g carbohydrates; 3.9 g protein; 6 mg cholesterol; 703 mg sodium. Full nutrition
65,Steak with Mustard,Per Serving: 641 calories; 38.8 g fat; 22.8 g carbohydrates; 47.8 g protein; 141 mg cholesterol; 5266 mg sodium. Full nutrition
66,Steak Well Done,Per Serving: 338 calories; 22.7 g fat; 4.6 g carbohydrates; 28.3 g protein; 55 mg cholesterol; 284 mg sodium. Full nutrition
67,Steak Medium Well,Per Serving: 482 calories; 28.8 g fat; 20.8 g carbohydrates; 35.3 g protein; 64 mg cholesterol; 89 mg sodium. Full nutrition
68,Steak Ground,Per Serving: 381 calories; 23.2 g fat; 16 g carbohydrates; 29.1 g protein; 51 mg cholesterol; 2117 mg sodium. Full nutrition
69,Steak Hanger,Per Serving: 413 calories; 17.1 g fat; 53.9 g carbohydrates; 20.7 g protein; 33 mg cholesterol; 3782 mg sodium. Full nutrition
70,Steak Chicken Fried,344 calories; 25.3 g total fat; 96 mg cholesterol; 349 mg sodium. 0.6 g carbohydrates; 27 g protein; Full Nutrition
71,Steak Cold,Per Serving: 338 calories; 22.7 g fat; 4.6 g carbohydrates; 28.3 g protein; 55 mg cholesterol; 284 mg sodium. Full nutrition
72,Steak Frites,Per Serving: 370 calories; 26.4 g fat; 1.5 g carbohydrates; 27.8 g protein; 96 mg cholesterol; 255 mg sodium. Full nutrition
73,Acorn Squash,Per Serving: 189 calories; 6 g fat; 35.8 g carbohydrates; 1.8 g protein; 15 mg cholesterol; 51 mg sodium. Full nutrition
74,Spaghetti Squash,Per Serving: 236 calories; 12.5 g fat; 12.8 g carbohydrates; 18 g protein; 58 mg cholesterol; 414 mg sodium. Full nutrition
75,Sweet Potato Soup,Per Serving: 373 calories; 18.9 g fat; 39.8 g carbohydrates; 11.5 g protein; 41 mg cholesterol; 1282 mg sodium. Full nutrition
76,Squash Soup,Per Serving: 370 calories; 23.2 g fat; 24.4 g carbohydrates; 19.6 g protein; 71 mg cholesterol; 1120 mg sodium. Full nutrition
77,Ribolita,no recipe match found
78,Root Vegetable Soup,Per Serving: 180 calories; 5.3 g fat; 30.1 g carbohydrates; 4.7 g protein; 0 mg cholesterol; 266 mg sodium. Full nutrition
79,Seafood Soup,Per Serving: 278 calories; 9.5 g fat; 15.5 g carbohydrates; 33.2 g protein; 112 mg cholesterol; 925 mg sodium. Full nutrition
80,Red Pepper Soup,Per Serving: 217 calories; 5.5 g fat; 29.3 g carbohydrates; 10.8 g protein; 20 mg cholesterol; 661 mg sodium. Full nutrition
81,Gumbo,296 calories; 17.9 g total fat; 144 mg cholesterol; 855 mg sodium. 12.1 g carbohydrates; 20.9 g protein; Full Nutrition
82,Mushroom Soup,260 calories; 22.8 g total fat; 55 mg cholesterol; 863 mg sodium. 10.9 g carbohydrates; 4.3 g protein; Full Nutrition
83,Cucumber Soup (cold),Per Serving: 138 calories; 9.9 g fat; 10.7 g carbohydrates; 3.3 g protein; 11 mg cholesterol; 795 mg sodium. Full nutrition
84,Fish Chowder,Per Serving: 386 calories; 13.6 g fat; 33.8 g carbohydrates; 31.9 g protein; 83 mg cholesterol; 748 mg sodium. Full nutrition
85,Manhattan Clam Chowder (Tomato Based),Per Serving: 476 calories; 6.1 g fat; 67.8 g carbohydrates; 35.3 g protein; 72 mg cholesterol; 1561 mg sodium. Full nutrition
86,Bean and Bacon,104 calories; 6.5 g total fat; 8 mg cholesterol; 301 mg sodium. 8.6 g carbohydrates; 3.9 g protein; Full Nutrition
87,Black Bean,Per Serving: 253 calories; 5.8 g fat; 41.1 g carbohydrates; 10.3 g protein; 0 mg cholesterol; 415 mg sodium. Full nutrition
88,Borscht,Per Serving: 138 calories; 7.8 g fat; 12 g carbohydrates; 5.9 g protein; 21 mg cholesterol; 96 mg sodium. Full nutrition
89,Soup,223 calories; 15.8 g total fat; 62 mg cholesterol; 734 mg sodium. 13.5 g carbohydrates; 6.9 g protein; Full Nutrition
90,Soba Noodles,Per Serving: 586 calories; 14.9 g fat; 101.8 g carbohydrates; 21.3 g protein; 0 mg cholesterol; 1734 mg sodium. Full nutrition
91,Shrimp with Lemon,Per Serving: 311 calories; 25.3 g fat; 2.2 g carbohydrates; 18.9 g protein; 183 mg cholesterol; 1291 mg sodium. Full nutrition
92,Shellfish with Mayonnaise Based Sauce,Per Serving: 707 calories; 41.2 g fat; 62.7 g carbohydrates; 25.1 g protein; 100 mg cholesterol; 1441 mg sodium. Full nutrition
93,Seafood Cocktail,
94,Seafood in a Curry Sauce,Per Serving: 581 calories; 17.4 g fat; 60.7 g carbohydrates; 42.4 g protein; 75 mg cholesterol; 1111 mg sodium. Full nutrition
95,Seafood in a Garlic Sauce,Per Serving: 581 calories; 17.4 g fat; 60.7 g carbohydrates; 42.4 g protein; 75 mg cholesterol; 1111 mg sodium. Full nutrition
96,Seafood in a Tomato Sauce,Per Serving: 185 calories; 9.3 g fat; 15 g carbohydrates; 12.4 g protein; 35 mg cholesterol; 931 mg sodium. Full nutrition
97,White Sausage,561 calories; 33 g total fat; 71 mg cholesterol; 786 mg sodium. 40.3 g carbohydrates; 26.4 g protein; Full Nutrition
98,Chicken Sausage,664 calories; 45.8 g total fat; 153 mg cholesterol; 1288 mg sodium. 28.2 g carbohydrates; 33.8 g protein; Full Nutrition
99,Marinara,Per Serving: 151 calories; 10.5 g fat; 11.7 g carbohydrates; 2 g protein; 0 mg cholesterol; 685 mg sodium. Full nutrition
100,Black Bean Sauce,Per Serving: 141 calories; 8.6 g fat; 7.6 g carbohydrates; 8.3 g protein; 22 mg cholesterol; 340 mg sodium. Full nutrition
101,Hoisin Sauce,Per Serving: 46 calories; 3.3 g fat; 3.2 g carbohydrates; 1.6 g protein; 0 mg cholesterol; 486 mg sodium. Full nutrition
102,Satay,329 calories; 18.2 g total fat; 67 mg cholesterol; 957 mg sodium. 11.8 g carbohydrates; 30.8 g protein; Full Nutrition
103,Tomato and Mozzarella Sandwich,Per Serving: 375 calories; 21.2 g fat; 26.6 g carbohydrates; 18.1 g protein; 45 mg cholesterol; 432 mg sodium. Full nutrition
