,0,nutrition
0,Ikura - Salmon Roe Sushi/Sashimi,Per Serving: 787 calories; 32.5 g fat; 103.3 g carbohydrates; 21.2 g protein; 53 mg cholesterol; 1080 mg sodium. Full nutrition
1,Pesto alla Genovese,Per Serving: 486 calories; 25.3 g fat; 26 g carbohydrates; 38.3 g protein; 130 mg cholesterol; 1621 mg sodium. Full nutrition
2,Pansoti pasta with a walnut sauce,Per Serving: 151 calories; 10.5 g fat; 11.7 g carbohydrates; 2 g protein; 0 mg cholesterol; 685 mg sodium. Full nutrition
3,Hotate - Scallops Sushi/Sashimi,Per Serving: 303 calories; 9.1 g fat; 16.5 g carbohydrates; 34.3 g protein; 98 mg cholesterol; 564 mg sodium. Full nutrition
4,Akagai/Mirugai/Aoyagi - Clams Sushi/Sashimi,Per Serving: 291 calories; 6.9 g fat; 45.1 g carbohydrates; 11.1 g protein; 9 mg cholesterol; 405 mg sodium. Full nutrition
5,Kani - Crab Sushi/Sashimi,Per Serving: 444 calories; 8.2 g fat; 79.9 g carbohydrates; 10.7 g protein; 29 mg cholesterol; 1475 mg sodium. Full nutrition
6,Gyuu no Tataki Sushi/Sashimi,Per Serving: 557 calories; 10.3 g fat; 77.1 g carbohydrates; 35 g protein; 351 mg cholesterol; 861 mg sodium. Full nutrition
7,Inari-zushi Sushi/Sashimi,Per Serving: 557 calories; 10.3 g fat; 77.1 g carbohydrates; 35 g protein; 351 mg cholesterol; 861 mg sodium. Full nutrition
8,Tempura Shrimp,Per Serving: 574 calories; 48.3 g fat; 15.7 g carbohydrates; 11.4 g protein; 124 mg cholesterol; 424 mg sodium. Full nutrition
9,Shiitake Tempura,Per Serving: 368 calories; 32.9 g fat; 8.9 g carbohydrates; 13.2 g protein; 86 mg cholesterol; 579 mg sodium. Full nutrition
10,Beef Katsu - Without Sauce,Per Serving: 185 calories; 9.3 g fat; 15 g carbohydrates; 12.4 g protein; 35 mg cholesterol; 931 mg sodium. Full nutrition
11,Veggie Burgers,Per Serving: 193 calories; 4.3 g fat; 31.9 g carbohydrates; 6.9 g protein; 27 mg cholesterol; 158 mg sodium. Full nutrition
12,Focaccia,Per Serving: 171 calories; 5.8 g fat; 23.4 g carbohydrates; 6 g protein; 5 mg cholesterol; 252 mg sodium. Full nutrition
13,Toriniku Yakitori,Per Serving: 367 calories; 25 g fat; 10.8 g carbohydrates; 24.4 g protein; 76 mg cholesterol; 1866 mg sodium. Full nutrition
14,Tuna Tartare,Per Serving: 120 calories; 5.6 g fat; 3.5 g carbohydrates; 14.4 g protein; 26 mg cholesterol; 51 mg sodium. Full nutrition
15,Mint and Goat’s Cheese Omelette,no recipe match found
16,Spicy Mushrooms with Pancetta,378 calories; 28.6 g total fat; 44 mg cholesterol; 1188 mg sodium. 15 g carbohydrates; 16.8 g protein; Full Nutrition
17,Duck in Cherry Sauce,Per Serving: 128 calories; 0.1 g fat; 31.3 g carbohydrates; 0.9 g protein; 0 mg cholesterol; 3 mg sodium. Full nutrition
18,Tsubugai/Hamaguri,no recipe match found
19,Sazae-tsuboyaki,no recipe match found
20,Roasted Medallions of Veal in Coffee,Per Serving: 386 calories; 29 g fat; 2.8 g carbohydrates; 26.9 g protein; 103 mg cholesterol; 698 mg sodium. Full nutrition
21,Pineapple and Pomelo Crumble with Ginger,no recipe match found
22,Cupcakes,211 calories; 8.7 g total fat; 51 mg cholesterol; 303 mg sodium. 31.8 g carbohydrates; 2.4 g protein; Full Nutrition
23,Matsutake/Shiitake,Per Serving: 368 calories; 32.9 g fat; 8.9 g carbohydrates; 13.2 g protein; 86 mg cholesterol; 579 mg sodium. Full nutrition
24,Akami Teppan (steak),Per Serving: 338 calories; 22.7 g fat; 4.6 g carbohydrates; 28.3 g protein; 55 mg cholesterol; 284 mg sodium. Full nutrition
25,Shimofuri Teppan (wagyu steak),Per Serving: 338 calories; 22.7 g fat; 4.6 g carbohydrates; 28.3 g protein; 55 mg cholesterol; 284 mg sodium. Full nutrition
26,Shrimp Teppan,Per Serving: 618 calories; 43.7 g fat; 16.2 g carbohydrates; 38.6 g protein; 270 mg cholesterol; 1635 mg sodium. Full nutrition
27,Lobster Teppan,Per Serving: 356 calories; 24.5 g fat; 0.9 g carbohydrates; 32.2 g protein; 223 mg cholesterol; 1987 mg sodium. Full nutrition
28,Awabi Teppan (abalone),Per Serving: 814 calories; 63.2 g fat; 44.4 g carbohydrates; 19.1 g protein; 136 mg cholesterol; 1438 mg sodium. Full nutrition
29,Chicken Teriyaki,738 calories; 24.4 g total fat; 154 mg cholesterol; 8306 mg sodium. 76.4 g carbohydrates; 54.5 g protein; Full Nutrition
30,Okonomiyaki - Meat,220 calories; 6.1 g total fat; 40 mg cholesterol; 786 mg sodium. 21.2 g carbohydrates; 20.1 g protein; Full Nutrition
31,Eggplant Parmesan,Per Serving: 487 calories; 16 g fat; 62.1 g carbohydrates; 24.2 g protein; 73 mg cholesterol; 1663 mg sodium. Full nutrition
32,Okonomiyaki - Seafood,Per Serving: 180 calories; 7.7 g fat; 1.1 g carbohydrates; 25.3 g protein; 56 mg cholesterol; 231 mg sodium. Full nutrition
33,Salt & Pepper Squid,275 calories; 7.9 g total fat; 20 mg cholesterol; 417 mg sodium. 46.8 g carbohydrates; 1.3 g protein; Full Nutrition
34,Almond Desserts,553 calories; 36.2 g total fat; 82 mg cholesterol; 514 mg sodium. 50.1 g carbohydrates; 7.4 g protein; Full Nutrition
35,Thai Beef Salad (Spicy),Per Serving: 561 calories; 39.8 g fat; 34.4 g carbohydrates; 18 g protein; 54 mg cholesterol; 844 mg sodium. Full nutrition
36,Duck Breast,Per Serving: 297 calories; 10.7 g fat; 4.8 g carbohydrates; 43.2 g protein; 222 mg cholesterol; 346 mg sodium. Full nutrition
37,Prosciutto topped Pizza,441 calories; 22.1 g total fat; 43 mg cholesterol; 1112 mg sodium. 38.5 g carbohydrates; 21.9 g protein; Full Nutrition
38,Apricot,801 calories; 56.2 g total fat; 170 mg cholesterol; 3895 mg sodium. 14.4 g carbohydrates; 56.1 g protein; Full Nutrition
39,Apricot Dessert,Per Serving: 250 calories; 12.9 g fat; 32.7 g carbohydrates; 3.2 g protein; 17 mg cholesterol; 79 mg sodium. Full nutrition
40,Spaghetti Carbonara with Prosciutto,735 calories; 45.4 g total fat; 132 mg cholesterol; 613 mg sodium. 54.7 g carbohydrates; 18.2 g protein; Full Nutrition
41,Sauteed Brussel Sprouts & Prosciutto,136 calories; 7.8 g total fat; 14 mg cholesterol; 196 mg sodium. 10.2 g carbohydrates; 8.4 g protein; Full Nutrition
42,Arugula,Per Serving: 317 calories; 17.8 g fat; 29.7 g carbohydrates; 11 g protein; 21 mg cholesterol; 334 mg sodium. Full nutrition
43,White Asparagus,Per Serving: 83 calories; 6.9 g fat; 4.4 g carbohydrates; 2.5 g protein; 0 mg cholesterol; 148 mg sodium. Full nutrition
